INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('75611136878', 'False', 'Gabriel Assunção-Miranda', '602287761', 'R. Sara Miranda, 89, 3026-272 Tomar', '2023-08-03');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('81013529603', 'False', 'Inês Ramos', '240346240', 'Avenida de Carneiro, 35, 8516-933 Lamego', '1928-04-16');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('74266417167', 'False', 'Dinis Figueiredo-Fonseca', '620678470', 'Praça de Faria, 67, 5529-855 Sines', '1958-03-24');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('12578004784', 'False', 'Ivo Pinho', '587758029', 'Av de Rodrigues, 896, 1801-983 Oliveira de Azeméis', '1952-10-03');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('12549634010', 'False', 'Amélia-Mafalda Pires', '493485045', 'R. Branco, 71, 2091-008 Sines', '1935-02-10');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('40679034029', 'False', 'Marco Monteiro', '399377903', 'Rua Simões, S/N, 3472-362 Estarreja', '1937-12-30');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('77909488287', 'False', 'Bruna Lopes', '393085354', 'Largo de Dom Fradique, 4, 8231-058 Valbom', '1970-05-20');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('94348305231', 'False', 'Nelson Tavares-Leal', '581820966', 'Av Pinho, 99, 7742-336 Figueira da Foz', '1960-07-07');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('26552258214', 'False', 'Leonardo Figueiredo', '012403472', 'Travessa Sandro Branco, 59, 4524-065 Paços de Ferreira', '2022-08-21');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('52498958080', 'False', 'Erika Pinto', '279005724', 'Rua Gaspar, S/N, 4894-641 Vila do Conde', '2020-06-21');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('60111507139', 'False', 'Andreia Neto', '871918302', 'Av de Faria, 421, 6350-956 Alcobaça', '1923-07-06');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('21085260507', 'False', 'Mauro Cruz', '185688849', 'Alameda Pereira, 42, 3822-087 Sintra', '1952-12-23');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('52019489569', 'False', 'Lucas Neto', '585741403', 'Travessa Kevin Leal, 425, 2851-741 Peso da Régua', '1954-04-07');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('46547763844', 'False', 'Melissa Azevedo', '276743208', 'Travessa de Faria, 15, 3597-251 Maia', '1992-05-17');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('67861015027', 'False', 'Igor Amaral', '999678382', 'R. Márcio Nascimento, 9, 3268-831 Anadia', '2000-04-24');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('09654284082', 'False', 'Afonso da Loureiro', '401665684', 'R. de Rocha, S/N, 4879-154 Gandra', '1965-10-01');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('28881229756', 'False', 'Diana Sá', '990361162', 'Alameda das Amoreiras, S/N, 0585-164 Santiago do Cacém', '1975-04-18');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('60671596684', 'False', 'Kévim Assunção-Sousa', '454748201', 'Rua Francisca Santos, 2, 1033-394 Almada', '1932-10-27');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('41644710040', 'False', 'Vasco Oliveira', '631001520', 'Largo de Oliveira, 8, 2566-472 Amadora', '1980-06-22');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('95696017515', 'False', 'Diego Matos', '851781564', 'Travessa Sebastião Loureiro, 61, 2685-678 Marinha Grande', '1957-11-29');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('18221500311', 'False', 'Jéssica Pinto', '979844780', 'Largo Erica Antunes, 922, 4909-826 Porto', '1994-12-09');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('27992584184', 'False', 'Hugo de Amaral', '176592942', 'Avenida de Tavares, 69, 7260-805 Fundão', '1953-01-08');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('70525641086', 'False', 'Yara Matos', '508747582', 'Avenida Isaac Ramos, 4, 3089-734 Setúbal', '1946-12-01');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('43512775878', 'False', 'Jaime Esteves-Batista', '918021315', 'Av Micael Branco, 56, 1559-444 Vila Real', '1956-05-08');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('79476475797', 'False', 'Francisco Rocha', '523163792', 'Travessa do Adamastor, 28, 6770-060 Ermesinde', '1956-01-01');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('64825334572', 'False', 'Kévim de Ferreira', '490023648', 'Travessa de Baptista, 46, 4038-292 Lagos', '1953-12-17');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('00535805782', 'False', 'Emília Matos', '199999567', 'R. de Azevedo, 66, 5046-382 São Salvador de Lordelo', '2008-12-06');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('23482216786', 'False', 'Margarida Rocha', '908403558', 'Alameda de Anjos, 284, 4769-850 Coimbra', '1930-07-26');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('43860112543', 'False', 'Carlota Neves', '803437385', 'Av Luca Abreu, 64, 6913-586 Santa Cruz', '1956-02-03');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('76654248938', 'False', 'Helena Fonseca', '566830897', 'Travessa Joana Teixeira, 756, 4194-347 Gandra', '1946-07-23');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('98844229056', 'False', 'Valentim Mota', '329332459', 'Rua Sá, 57, 5205-107 Fiães', '1936-08-21');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('45189429573', 'False', 'Dinis Vicente', '358159016', 'Alameda de Morais, 149, 1782-495 Oliveira de Azeméis', '1960-10-03');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('68184292397', 'False', 'Benjamim Gomes', '530636527', 'Av de Jesus, 130, 6576-178 Vila Real de Santo António', '1977-09-05');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('56939864187', 'False', 'Leandro Borges', '031338465', 'Avenida de Leal, S/N, 1919-137 Costa da Caparica', '1963-10-30');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('00928874847', 'False', 'Carolina Vicente', '473035986', 'Rua Flor da Rosa, 938, 5158-836 Gafanha da Nazaré', '2001-04-23');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('85488264105', 'False', 'Leandro de Neves', '693141654', 'Travessa de Domingues, 34, 8275-044 Reguengos de Monsaraz', '2022-05-30');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('63664309572', 'False', 'Kévim Carneiro', '567203829', 'R. Ferreira de Mira, 356, 8071-284 Castelo Branco', '1966-07-13');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('99730370080', 'False', 'Matias Pinto', '036268950', 'Travessa de D. João II, 35, 3225-768 Tomar', '1967-11-04');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('31917313410', 'False', 'Nelson Lima', '257437282', 'Av Henrique Moura, 67, 7737-722 Quarteira', '1973-12-08');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('95180476711', 'False', 'Emília Ramos', '864511858', 'Praça Fonseca, 23, 2183-107 Ílhavo', '1927-07-20');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('09867305421', 'False', 'Salomé-Íris Moura', '147850124', 'Av do Monte da Lapa, 82, 5959-132 Funchal', '1935-10-25');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('47270346296', 'False', 'Raquel Nunes', '626295721', 'Alameda de Vicente, S/N, 1022-722 Reguengos de Monsaraz', '1960-06-08');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('41829816894', 'False', 'Patrícia Teixeira', '086492034', 'R. Luísa Castro, 13, 9170-002 Vila Nova de Gaia', '1930-11-28');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('15744451606', 'False', 'Wilson da Nogueira', '030615537', 'Praça Sandro Pacheco, S/N, 6834-969 Olhão', '1986-03-27');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('82147053933', 'False', 'Ivo Rocha', '518946251', 'Alameda Miranda, S/N, 5526-845 Pombal', '2021-06-14');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('24562098265', 'False', 'Noa do Oliveira', '565411107', 'Rua de Lourenço, 33, 1290-813 Lamego', '2000-11-19');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('43683505926', 'False', 'Madalena Almeida', '760765157', 'Largo Novo (à Travessa das Águas Boas), 4, 8895-304 Sacavém', '1990-09-14');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('40756691954', 'False', 'Benjamim Ferreira', '378256412', 'Travessa de Cunha, 53, 3527-326 Quarteira', '2011-05-12');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('75003128358', 'False', 'Duarte de Barbosa', '165347573', 'Largo Luna Carvalho, 94, 3567-239 Castelo Branco', '2015-06-21');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('81786788965', 'False', 'Emília Faria', '723126742', 'Rua de Morais, 4, 8489-437 Marinha Grande', '2016-06-07');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('65982594292', 'False', 'Dinis Esteves', '163195019', 'Av de Passos Manuel, 83, 8953-583 São Salvador de Lordelo', '2000-07-30');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('83863122692', 'False', 'Filipa Neves', '253259337', 'Rua de São Vicente, 6, 7878-199 Rebordosa', '1924-08-22');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('51532820463', 'False', 'Yasmin Paiva', '685050050', 'Av de Gomes, 22, 1386-678 Viana do Castelo', '1991-03-07');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('80945188672', 'False', 'Filipa Santos', '440846714', 'Rua Machado, 28, 2730-635 Albufeira', '1929-10-13');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('58579305045', 'False', 'Yasmin Vieira', '259815356', 'Rua Futebol Clube do Porto, 68, 1688-334 Tarouca', '1999-02-23');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('33740319898', 'False', 'Lúcia Esteves-Gaspar', '723404355', 'Travessa Figueiredo, S/N, 9846-084 Setúbal', '1997-12-10');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('69626772780', 'False', 'Matilde do Brito', '929150670', 'Largo de Paiva, S/N, 3074-158 Moura', '1980-10-22');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('34884038744', 'False', 'Teresa Vieira', '066013083', 'Rua Correia, S/N, 4196-693 Ermesinde', '1995-10-24');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('19463896367', 'False', 'Renata Morais', '936546728', 'Travessa Martim Alves, 792, 4563-733 Fafe', '1991-02-11');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('17398741617', 'False', 'Salomé Teixeira', '006182821', 'Praça de Santos, 38, 4546-570 Fiães', '1923-08-28');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('47320353136', 'False', 'Beatriz Andrade', '029797318', 'Alameda Gaspar, 797, 4040-102 Santana', '1937-03-17');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('41555477620', 'False', 'Matias Ferreira', '773937942', 'Av Matias, 57, 2210-494 Tarouca', '2003-04-03');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('11690283522', 'False', 'Joana Cunha', '952598672', 'Av Coronel Vítor Alves, 8, 1864-844 Queluz', '2003-05-19');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('39106051617', 'False', 'Frederico Teixeira', '979142787', 'Av Eduardo Prado Coelho, 59, 9905-394 Penafiel', '2013-05-31');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('59397867212', 'False', 'Alícia Jesus', '363519244', 'Travessa Macedo, 973, 9302-048 Serpa', '1984-04-03');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('75097595203', 'False', 'Marco Coelho', '199831854', 'Av Rocha, 36, 0533-520 Amarante', '2019-10-17');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('47836722874', 'False', 'Sara Silva', '236380366', 'Rua da Bela Vista, 74, 8781-260 Loulé', '2017-01-16');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('37946980186', 'False', 'Tomé Guerreiro', '626718720', 'Travessa de Antunes, 490, 4135-651 Santa Maria da Feira', '1944-05-29');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('32942553973', 'False', 'Bernardo Assunção-Correia', '951189324', 'Largo do Cerco do Porto, 868, 0048-385 Alverca do Ribatejo', '1940-04-30');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('23387720964', 'False', 'Isabel Paiva', '912397090', 'Praça de Figueiredo, 6, 5141-110 Ribeira Grande', '2000-04-21');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('66061315991', 'False', 'Noah Andrade', '624948570', 'R. Leonor Ribeiro, 3, 2196-373 Santa Comba Dão', '1953-08-23');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('29596245128', 'False', 'Miguel Gaspar', '984107907', 'Av de Fernandes, 28, 5666-245 Braga', '1947-10-15');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('16410192434', 'False', 'Marta Mendes', '194236648', 'R. Flor Miranda, S/N, 7405-555 Porto Santo', '1989-09-07');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('75930862331', 'False', 'João Loureiro', '204053251', 'Praça Rodrigues, 395, 2416-858 Mealhada', '1959-08-02');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('40325535803', 'False', 'Larissa-Kyara Ribeiro', '036249731', 'R. de Vaz, 7, 3937-256 Montijo', '2017-06-18');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('01203547067', 'False', 'Sérgio Moreira', '114065677', 'Avenida Cláudio Nunes, 83, 5220-992 Cartaxo', '1958-04-14');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('03134936638', 'False', 'Maria de Pires', '059291049', 'Avenida Fonseca, 84, 2121-347 Loures', '1961-02-26');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('90078402936', 'False', 'Inês Cruz', '139141023', 'Av de Borges, 68, 6854-721 Ponta Delgada', '1972-05-24');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('00403921143', 'False', 'Vera Abreu', '342031694', 'Avenida do Cidral de Baixo, 33, 8809-184 Vila Real', '1983-05-21');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('34203837786', 'False', 'Inês Almeida-Fernandes', '581328122', 'Avenida de Garcia, S/N, 2349-767 Paredes', '1945-03-31');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('17468430962', 'False', 'Letícia Soares', '892160187', 'R. Amaral, 61, 6458-751 Gondomar', '1969-03-04');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('46312428429', 'False', 'Luca Henriques', '463769905', 'Praça Eva Silva, S/N, 4466-242 Peniche', '1956-04-06');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('51390247165', 'False', 'Rita Mendes', '272612098', 'Largo Renata Domingues, 14, 8484-894 Gandra', '1985-04-24');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('50355470479', 'False', 'Duarte Almeida', '792890305', 'Largo de Miranda, 49, 6999-090 Vizela', '2013-09-13');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('49935162722', 'False', 'Patrícia-Eva Pinto', '593940128', 'Largo de Esteves, 95, 5006-106 São Salvador de Lordelo', '2015-11-07');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('71445293353', 'False', 'Carlota Neves', '083323891', 'Rua das Andorinhas, 37, 1279-069 Valongo', '1948-06-25');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('94757571494', 'False', 'Nelson Garcia', '087032659', 'Largo Nair Garcia, 7, 5353-761 Santa Maria da Feira', '1999-08-13');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('12302503596', 'False', 'Luísa Sousa', '729509881', 'Largo de São Vicente de Paulo, 77, 3064-424 Albufeira', '1931-06-10');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('84737924449', 'False', 'Lúcia Lopes', '952216041', 'Praça Nascimento, 7, 8354-622 Fiães', '1960-08-22');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('09422849745', 'False', 'Mia Loureiro', '201231416', 'R. de Guerreiro, 68, 1333-507 Lisboa', '2006-05-10');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('83240911016', 'False', 'Joel Coelho-Sousa', '720868401', 'R. Nair Assunção, S/N, 9276-935 Póvoa de Santa Iria', '1993-12-23');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('08123739405', 'False', 'Mélanie Fernandes', '289933315', 'R. Mariana Lopes, 6, 1464-345 Seixal', '1993-06-02');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('39670595932', 'False', 'Vasco Anjos', '500037388', 'Rua Velho do Outeiro, 57, 2891-573 Oliveira do Bairro', '2011-06-11');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('22435837810', 'False', 'Victória Pinheiro', '356537157', 'Largo Reis, S/N, 2007-583 Fundão', '1990-12-07');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('26683132845', 'False', 'Vasco Barros', '127887108', 'R. Freitas, 25, 9234-049 Peniche', '1997-08-03');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('58448258552', 'False', 'Beatriz Brito', '929215329', 'R. de Fonseca, 799, 9709-444 Vila Nova de Famalicão', '1933-12-31');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('50488793065', 'False', 'Lara de Lima', '237141059', 'Praça Manuel Ricardo Espírito Santo, 10, 4763-528 Marco de Canaveses', '1954-09-01');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('39124569811', 'False', 'Raquel Soares', '270735172', 'Alameda do Olival, 10, 3921-620 Abrantes', '2021-12-18');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('66369874784', 'False', 'Lúcia do Baptista', '493695448', 'Av de Palma, 51, 9280-329 Beja', '1928-12-31');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('22470787396', 'False', 'Raquel Teixeira', '783828600', 'Praça dos Armazéns, 47, 8361-869 Marinha Grande', '1963-08-03');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('86186856190', 'False', 'Eva Miranda-Rocha', '498422432', 'Alameda de Mota, 5, 2722-422 Amadora', '1966-05-20');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('94631925651', 'False', 'Gaspar Silva', '131318734', 'Travessa Correia, S/N, 9577-615 Reguengos de Monsaraz', '1999-01-12');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('42611345544', 'False', 'Naiara Guerreiro', '980965685', 'Alameda da Pasteleira, 26, 9014-630 Rebordosa', '1952-10-06');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('53785356972', 'False', 'Sérgio Borges', '686833235', 'Alameda Maia, S/N, 6143-567 Santa Cruz', '1972-05-29');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('97616238855', 'False', 'Leonor Pires', '916075115', 'Av Diogo Silva, 2, 3538-100 Portimão', '1998-01-15');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('36354799011', 'False', 'Leandro Campos', '219476905', 'Praça Nelson Ferreira, 3, 9473-932 Lourosa', '1978-08-18');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('92116334752', 'False', 'Samuel Mendes', '087740282', 'Avenida Pilar Vicente, 8, 6424-701 Funchal', '1952-05-22');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('77464408388', 'False', 'Nair Rodrigues', '381681551', 'Rua Ângelo Andrade, 90, 5865-255 Almeirim', '2008-10-22');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('78711537444', 'False', 'Amélia Gonçalves', '754500526', 'Praça do Duro, 52, 9741-775 Gondomar', '1942-04-20');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('43390021576', 'False', 'Brian Andrade', '083641988', 'Alameda das Cegonhas, 54, 7687-280 Covilhã', '1954-11-24');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('25017330295', 'False', 'Guilherme Araújo', '527527625', 'Travessa Cláudio Pereira, 552, 1184-888 Miranda do Douro', '1941-12-28');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('75303194947', 'False', 'Gabriel Fernandes', '440668906', 'Travessa Tomás Gomes, 3, 4148-359 Ourém', '1974-07-12');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('69917916488', 'False', 'Duarte Simões', '900140295', 'R. do Prof. Hernâni Monteiro, 8, 4059-823 Cartaxo', '1944-03-11');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('60030242365', 'False', 'Santiago Melo', '399771483', 'R. Tomás Brito, 975, 5793-801 Almeirim', '1935-07-30');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('30064911580', 'False', 'Érica Loureiro', '465323214', 'R. dos Pardais, 35, 1220-372 Odivelas', '2023-04-12');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('45886222190', 'False', 'Melissa Correia', '962717675', 'Avenida Amaral, 81, 6574-065 Penafiel', '1938-07-20');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('88510300412', 'False', 'Raquel Correia', '607223111', 'Rua Batista, 82, 5563-477 Gouveia', '1950-05-21');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('07344940762', 'False', 'Emanuel Antunes', '805497883', 'Av Coelho, S/N, 5561-328 Quarteira', '1937-11-01');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('85047148164', 'False', 'Maria Sousa', '304135200', 'R. Pereira, 2, 3860-253 Guarda', '1958-03-22');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('34648612117', 'False', 'Beatriz Carvalho', '254748375', 'Praça Moreira, S/N, 2246-600 Almada', '1970-06-07');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('88081678776', 'False', 'Leonardo do Gonçalves', '046780043', 'Rua de Pina Manique, 35, 9264-459 Sintra', '1924-02-24');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('73838854858', 'False', 'Inês Pacheco', '714681231', 'R. de Gonçalves, 15, 2256-497 Ribeira Grande', '1969-05-14');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('28183338579', 'False', 'Patrícia Paiva', '134020384', 'Praça de Anjos, 69, 3900-716 Viseu', '1990-04-01');
